headline,link,cleaned_description
There can absolutely be no ‘soft-pedalling’ of May 9 riots: PM Shehbaz,https://www.dawn.com/news/1832432/there-can-absolutely-be-no-soft-pedalling-of-may-9-riots-pm-shehbaz,special meet feder cabinet way section impos islamabad punjab ahead announc pti ralli
Balochistan CM Bugti vows no soft corner for terrorists after 7 labourers shot dead in Gwadar,https://www.dawn.com/news/1832433/balochistan-cm-bugti-vows-no-soft-corner-for-terrorists-after-7-labourers-shot-dead-in-gwadar,cm bugti call open terror say never abandon bereav
Israel shells Gaza’s Rafah as Biden warns of arms suspension,https://www.dawn.com/live/gaza-invasion,dutch polic arrest propalestin demonstr univers amsterdam protest
Imran refuses to tender apology over May 9 riots,https://www.dawn.com/news/1832343/imran-refuses-to-tender-apology-over-may-9-riots,say readi face inquiri dharna alvi say real power initi dialogu
Economic crisis deepens amid political instability,https://www.dawn.com/news/1832362/economic-crisis-deepens-amid-political-instability,industrialist analyst lament govt yet develop longterm growth strategi
"Pakistan, Uzbekistan vow early work on rail project",https://www.dawn.com/news/1832350/pakistan-uzbekistan-vow-early-work-on-rail-project,uzbek fm bakhtiyor meet pm shehbaz fm dar
Combating terrorism is a ‘shared interest’ with Pakistan: US,https://www.dawn.com/news/1832330/combating-terrorism-is-a-shared-interest-with-pakistan-us,remain commit work pakistan address share threat pose terrorist group throughout region say us depart spokesperson
Opposition leaders slam military involvement in politics,https://www.dawn.com/news/1832349/opposition-leaders-slam-military-involvement-in-politics,omar ayub question given dg ispr right negoti mahmood achakzai insist institut stay within limit
Lawyers go on nationwide strike against police today,https://www.dawn.com/news/1832354/lawyers-go-on-nationwide-strike-against-police-today,scba presid say cjp favour interfer high court affair
Axe falls on another senior taxman,https://www.dawn.com/news/1832360/axe-falls-on-another-senior-taxman,sourc say fbr would issu notif suspend offic day
Top News Stories: Palestinian Casualties Rise As Israel Tighten Control In Rafah,https://www.youtube.com/watch?v=7SaqjXkygcU,
Israel Tortures and Kills Gaza’s Most Famous Doctor,https://www.youtube.com/watch?v=0espqJWo7to,
Farmers In A Frenzy: What Went Wrong?,https://www.youtube.com/watch?v=S40adzt0qk4,
How is the World Reacting to Israel’s Rafah Invasion,https://www.youtube.com/watch?v=rOFNw3D9QcY,
"DG ISPR Presser: No Hint Of Army’s Inclination To Negotiation With Imran Khan, Says Shahzeb Jillani",https://www.youtube.com/watch?v=pfH2-8gp2mo,
Gaza Truce: What Did Hamas Agree To?,https://www.youtube.com/watch?v=SB7xdieq-rc,
India BJP’s Election Videos Targeting Muslims And Opposition Spark Outrage,https://www.youtube.com/watch?v=SrYpNrSU1DU,
