headline|link|description|source|type
Heroic welcome for hockey team in Lahore after winning silver medal in Azlan Shan Cup|https://www.dawn.com/news/1833061/heroic-welcome-for-hockey-team-in-lahore-after-winning-silver-medal-in-azlan-shan-cup|pm ’ youth programme chairman mashhood says government support team reward efforts accordingly|Dawn.com|sports
Fight till the last ball, PCB chief tells cricket team in Dublin|https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin|says cricket needs unique aggressive approach|Dawn.com|sports
FIFA’s foul on Pakistan football|https://www.dawn.com/news/1833021|franchise system like cricket ’ psl best way forward interim football administration pushing|Unknown|sports
Bednarek storms to 200m triumph in Doha, Neeraj Chopra falls short|https://www.dawn.com/news/1832946/bednarek-storms-to-200m-triumph-in-doha-neeraj-chopra-falls-short|india ’ olympic champion pipped top spot javelin czech republic ’ jakub vadlejch close contest separated cm|Agencies|sports
Real Madrid eagerly awaits Mbappe after PSG exit confirmed|https://www.dawn.com/news/1832928/real-madrid-eagerly-awaits-mbappe-after-psg-exit-confirmed|macron says hopes mbappe would play year ’ olympic games|Agencies|sports
Djokovic bottle strike overshadows Rome Open cruise past Moutet|https://www.dawn.com/news/1832945/djokovic-bottle-strike-overshadows-rome-open-cruise-past-moutet|world number one djokovic left crouched ground agony bottle hit signing autographs|Agencies|sports
Sultan Azlan Shah Cup: Pakistan fall as ‘dead sport’ recaptures audience once again|https://www.dawn.com/news/1832868/sultan-azlan-shah-cup-pakistan-fall-as-dead-sport-recaptures-audience-once-again|japan win convert four penalties shootout pakistan manage one three|APP|sports
‘England great’ Anderson will make last Test appearance in West Indies clash|https://www.dawn.com/news/1832880/england-great-anderson-will-make-last-test-appearance-in-west-indies-clash|yearold first seamer history reach test wickets|AFP|sports
Oltmans asks for more in final against Japan after NZ hold Pakistan|https://www.dawn.com/news/1832738/oltmans-asks-for-more-in-final-against-japan-after-nz-hold-pakistan|“ good things learned boys right spirit fight back come behind pakistani coach says|Agencies|sports
'Akmal brothers, Wahab Riaz and Imran Farhat were my players'|https://www.dawn.com/news/664482/butt-agreed-to-play-one-maiden-over-at-the-oval-prosecutor|press association reported majeed assured journalist mazher mahmood news world|Reuters|sports
'You remain our pride': Pakistanis heartbroken, yet full of praise for Green Shirts after semi-final defeat|https://www.dawn.com/news/1657514/you-remain-our-pride-pakistanis-heartbroken-yet-full-of-praise-for-green-shirts-after-semi-final-defeat|twitterati commend pakistan side performing beyond expectations making semifinals unbeaten|Dawn.com|sports
Art group employs brainwaves, AI to  recreate landscapes|https://www.dawn.com/news/1833005/art-group-employs-brainwaves-ai-to-recreate-landscapes|“ ’ known around years ’ possible reconstruct viewed image activity visual cortex ” says researcher|AFP|tech
